ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,예측답,정답여부,모델응답,프롬프트,문제번호
11,방재기사,2021,2,방재시설,39,자연재해저감 종합계획 세부수립기준상 주요 자연재해 특성분석에 관한 사항으로 틀린 것은?,text_only,O,"기상개황은 자연재해 발생기간내의 강우량, 풍속, 풍향, 적설량등을 기술한다.",주요자연재해 특성분석내용은 위험지구 예비후보지 대상선정시 제외한다.,자연재해 원인특성은 해당재해별 특성을 구분하여 분석한다.,피해현황은 국가재난관리정보시스템(NDMS)자료를 토대로한다.,2,google/gemma-3-27b,300,181,0,60.33,104.28,0.39,176,3,179,2,True,2,"문제: 자연재해저감 종합계획 세부수립기준상 주요 자연재해 특성분석에 관한 사항으로 틀린 것은?

선택지:
1. 기상개황은 자연재해 발생기간내의 강우량, 풍속, 풍향, 적설량등을 기술한다.
2. 주요자연재해 특성분석내용은 위험지구 예비후보지 대상선정시 제외한다.
3. 자연재해 원인특성은 해당재해별 특성을 구분하여 분석한다.
4. 피해현황은 국가재난관리정보시스템(NDMS)자료를 토대로한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",11
12,방재기사,2021,2,방재시설,32,우리나라 해안에서 발생하는 연안침식의 주요원인이 아닌 것은?,text_only,,항만건설,해안도로 건설,하수구 폐쇄,무분별한 하구 골재채취,3,google/gemma-3-27b,300,181,0,60.33,104.28,0.3,89,3,92,3,True,3,"문제: 우리나라 해안에서 발생하는 연안침식의 주요원인이 아닌 것은?

선택지:
1. 항만건설
2. 해안도로 건설
3. 하수구 폐쇄
4. 무분별한 하구 골재채취

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",12
13,방재기사,2021,2,재해분석,60,RRL 모델에 의한 홍수유출량 산정방법으로 옳은 것은?\n\n- Q 는 시간별 유출량(m$^3$/s)\n- I$_i$는 우량주상도의 i번째 시간구간의 강우강도 (mm/h)\n- A는 j시간의 유역출구 유출량에 기여하는 소유역 면적(km$^2$),text_only,,$Q_j = 0.2777 × \sum_{i=1}^{j} I_i × A_{j+1-i}$,$Q_j = 0.2227 × \sum_{i=1}^{j} I_i × A_{j+1-i}$,$Q_j = 0.2227 × \sum_{i=1}^{j} A_i × I_{j+1}$,$Q_j = 0.2777 × \sum_{i=1}^{j} A_i × I_{j+1}$,1,google/gemma-3-27b,300,181,0,60.33,104.28,0.49,272,3,275,2,False,2,"문제: RRL 모델에 의한 홍수유출량 산정방법으로 옳은 것은?\n\n- Q 는 시간별 유출량(m$^3$/s)\n- I$_i$는 우량주상도의 i번째 시간구간의 강우강도 (mm/h)\n- A는 j시간의 유역출구 유출량에 기여하는 소유역 면적(km$^2$)

선택지:
1. $Q_j = 0.2777 × \sum_{i=1}^{j} I_i × A_{j+1-i}$
2. $Q_j = 0.2227 × \sum_{i=1}^{j} I_i × A_{j+1-i}$
3. $Q_j = 0.2227 × \sum_{i=1}^{j} A_i × I_{j+1}$
4. $Q_j = 0.2777 × \sum_{i=1}^{j} A_i × I_{j+1}$

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",13
14,방재기사,2021,3,재해분석,52,재해복구사업의 분석·평가 시행지침상 명시된 재해복구사업의 효과성· 경제성을 평가하는 경우 포함하여야 하는 사항이 아닌 것은?,text_only,O,재해복구사업의 차별성,재해복구사업 계획추진과 사후관리체계 적정성,침수유역과 관련된 재해복구사업의 침수저감능력과 경제성,재해복구사업으로 인한 지역의 발전성과 지역주민 생활환경의 쾌적성,1,google/gemma-3-27b,300,181,0,60.33,104.28,0.3,158,2,160,1,True,1,"문제: 재해복구사업의 분석·평가 시행지침상 명시된 재해복구사업의 효과성· 경제성을 평가하는 경우 포함하여야 하는 사항이 아닌 것은?

선택지:
1. 재해복구사업의 차별성
2. 재해복구사업 계획추진과 사후관리체계 적정성
3. 침수유역과 관련된 재해복구사업의 침수저감능력과 경제성
4. 재해복구사업으로 인한 지역의 발전성과 지역주민 생활환경의 쾌적성

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",14
15,방재기사,2021,2,방재시설,26,자연현황 조사대상에 해당하지 않는 것은?,text_only,,산업현황,하천현황,해상현황,지질·토양현황,1,google/gemma-3-27b,300,181,0,60.33,104.28,0.29,79,3,82,1,True,1,"문제: 자연현황 조사대상에 해당하지 않는 것은?

선택지:
1. 산업현황
2. 하천현황
3. 해상현황
4. 지질·토양현황

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",15
16,방재기사,2022,2,방재사업,89,우리나라의 지형적 특성에 따른 연안침식 유형이 아닌 것은?,text_only,,이상파랑,토사포락,호안붕괴,백사장 침식,1,google/gemma-3-27b,300,181,0,60.33,104.28,0.22,82,2,84,2,False,2,"문제: 우리나라의 지형적 특성에 따른 연안침식 유형이 아닌 것은?

선택지:
1. 이상파랑
2. 토사포락
3. 호안붕괴
4. 백사장 침식

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",16
17,방재기사,2021,2,재난관리,6,재해구호법령상 응급구호 및 재해구호 상황의 보고에 관한 사항중 ( )안에 들어갈 대상으로 옳은 것은?\n\n- 구호기관은 재해로 인하여 이재민이 발생하면 재해의 상황과 재해구호 내용을 ( )에게 보고하여야 한다.,text_only,O,시·도지사,구호지원기관의 장,행정안전부장관,지역보호센터의 장,3,google/gemma-3-27b,300,181,0,60.33,104.28,0.37,144,3,147,3,True,3,"문제: 재해구호법령상 응급구호 및 재해구호 상황의 보고에 관한 사항중 ( )안에 들어갈 대상으로 옳은 것은?\n\n- 구호기관은 재해로 인하여 이재민이 발생하면 재해의 상황과 재해구호 내용을 ( )에게 보고하여야 한다.

선택지:
1. 시·도지사
2. 구호지원기관의 장
3. 행정안전부장관
4. 지역보호센터의 장

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",17
18,방재기사,2021,3,방재시설,28,폭풍해일 및 파랑으로 인한 재해 대책시설이 아닌 것은?,text_only,,호안,흉벽,도류제,고조방파제,3,google/gemma-3-27b,300,181,0,60.33,104.28,0.29,81,3,84,3,True,3,"문제: 폭풍해일 및 파랑으로 인한 재해 대책시설이 아닌 것은?

선택지:
1. 호안
2. 흉벽
3. 도류제
4. 고조방파제

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",18
19,방재기사,2021,3,방재시설,35,배수펌프 시설계획 수립에 관한 사항으로 틀린 것은?,text_only,,총양정은 계획실양정으로 한다.,펌프용량은 유역의 유출특성과 유수지규모에 따라 결정한다.,계획실양정은 외수계획고수위와 내수의 저수위 수위차의 70~80% 범위로 한다.,펌프의 설비위치는 수리적으로 유리하도록 흡수정과 최대한 가깝게 한다.,1,google/gemma-3-27b,300,181,0,60.33,104.28,0.38,155,3,158,3,False,3,"문제: 배수펌프 시설계획 수립에 관한 사항으로 틀린 것은?

선택지:
1. 총양정은 계획실양정으로 한다.
2. 펌프용량은 유역의 유출특성과 유수지규모에 따라 결정한다.
3. 계획실양정은 외수계획고수위와 내수의 저수위 수위차의 70~80% 범위로 한다.
4. 펌프의 설비위치는 수리적으로 유리하도록 흡수정과 최대한 가깝게 한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",19
20,방재기사,2021,2,재난관리,7,"자연재해대책법령상 방재관리대책 대행자가 대행할 수 있는 방재관리대책 업무로 틀린 것은? (단, 그 밖에 대통령령으로 정하는 방재관리대책에 관한 업무는 제외한다.)",text_only,O,비상대처계획 수립,우수유출저감대책의 평가,재해복구사업의 분석·평가,자연재해저감 종합계획의 수립,2,google/gemma-3-27b,300,181,0,60.33,104.28,0.37,143,3,146,4,False,4,"문제: 자연재해대책법령상 방재관리대책 대행자가 대행할 수 있는 방재관리대책 업무로 틀린 것은? (단, 그 밖에 대통령령으로 정하는 방재관리대책에 관한 업무는 제외한다.)

선택지:
1. 비상대처계획 수립
2. 우수유출저감대책의 평가
3. 재해복구사업의 분석·평가
4. 자연재해저감 종합계획의 수립

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",20
21,방재기사,2020,3,방재시설,35,재난대응훈련 프로그램 영역에서 위기관리 매뉴얼상의 정부 부처의 조치 목록이 잘못 연결된 것은?,text_only,,기상청:신속하고 정확한 호우특보 전파,교육부:긴급동원체계 및 인명구조 긴급지원태세 유지,산림청:산사태 취약지역 및 임도피해 우려지역 예찰강화,보건복지부:재해지역 식중독 예방대책 추진,2,google/gemma-3-27b,300,181,0,60.33,104.28,0.38,152,3,155,2,True,2,"문제: 재난대응훈련 프로그램 영역에서 위기관리 매뉴얼상의 정부 부처의 조치 목록이 잘못 연결된 것은?

선택지:
1. 기상청:신속하고 정확한 호우특보 전파
2. 교육부:긴급동원체계 및 인명구조 긴급지원태세 유지
3. 산림청:산사태 취약지역 및 임도피해 우려지역 예찰강화
4. 보건복지부:재해지역 식중독 예방대책 추진

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",21
22,방재기사,2022,2,방재시설,34,하수도설계기준상 측정된 강우자료 분석을 통한 다음 각각의 하수도 시설물별 최소 설계빈도는?\n\nㄱ: 지선관로\nㄴ: 간선관로\nㄷ: 빗물펌프장,text_only,O,"ㄱ:5년, ㄴ:10년, ㄷ:30년","ㄱ:5년, ㄴ:10년, ㄷ:20년","ㄱ:10년, ㄴ:30년, ㄷ:30년","ㄱ:10년, ㄴ:30년, ㄷ:20년",3,google/gemma-3-27b,300,181,0,60.33,104.28,0.38,177,3,180,2,False,2,"문제: 하수도설계기준상 측정된 강우자료 분석을 통한 다음 각각의 하수도 시설물별 최소 설계빈도는?\n\nㄱ: 지선관로\nㄴ: 간선관로\nㄷ: 빗물펌프장

선택지:
1. ㄱ:5년, ㄴ:10년, ㄷ:30년
2. ㄱ:5년, ㄴ:10년, ㄷ:20년
3. ㄱ:10년, ㄴ:30년, ㄷ:30년
4. ㄱ:10년, ㄴ:30년, ㄷ:20년

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",22
23,방재기사,2021,2,재해대책,68,재해정보지도 작성후 지방자치단체의 장이 검토해야 하는 사항이 아닌 것은?,text_only,,침수 정보,현지 조사,정보 보안,재해정보지도 작성 방침,3,google/gemma-3-27b,300,181,0,60.33,104.28,0.29,86,3,89,4,False,4,"문제: 재해정보지도 작성후 지방자치단체의 장이 검토해야 하는 사항이 아닌 것은?

선택지:
1. 침수 정보
2. 현지 조사
3. 정보 보안
4. 재해정보지도 작성 방침

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",23
24,방재기사,2021,2,재해분석,56,재해복구사업의 분석·평가 시행지침상 재해복구사업 분석평가를 통해 도출된 문제점에 대한 개선방안 및 구체적인 활용방안으로 명시되지 않는 것은?,text_only,,재해예방사업의 투자 우선순위,자연재해위험개선지구 지정 개선방안,재해복구사업 시행에 따른 각 시설물별 개선방안,지역발전성과 지역주민 생활환경의 쾌적성 향상방안,2,google/gemma-3-27b,300,181,0,60.33,104.28,0.37,152,3,155,4,False,4,"문제: 재해복구사업의 분석·평가 시행지침상 재해복구사업 분석평가를 통해 도출된 문제점에 대한 개선방안 및 구체적인 활용방안으로 명시되지 않는 것은?

선택지:
1. 재해예방사업의 투자 우선순위
2. 자연재해위험개선지구 지정 개선방안
3. 재해복구사업 시행에 따른 각 시설물별 개선방안
4. 지역발전성과 지역주민 생활환경의 쾌적성 향상방안

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",24
25,방재기사,2019,5,방재시설,28,다음의 ( ) 안에 적합한 단어는?\n\n방재기초자료 조사 시 인문 사회현황조사는 ( ㉮ ) 현황조사와 ( ㉯ )현황조사로 구분한다.,text_only,,"㉮ : 인구, ㉯ : 경제","㉮ : 인구, ㉯ : 산업","㉮ : 산업, ㉯ : 경제","㉮ : 산업, ㉯ : 복지",2,google/gemma-3-27b,300,181,0,60.33,104.28,0.3,159,2,161,1,False,1,"문제: 다음의 ( ) 안에 적합한 단어는?\n\n방재기초자료 조사 시 인문 사회현황조사는 ( ㉮ ) 현황조사와 ( ㉯ )현황조사로 구분한다.

선택지:
1. ㉮ : 인구, ㉯ : 경제
2. ㉮ : 인구, ㉯ : 산업
3. ㉮ : 산업, ㉯ : 경제
4. ㉮ : 산업, ㉯ : 복지

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",25
26,방재기사,2020,3,재해대책,77,자연재해위험개선지구 관리지침상 침수위험 지구의 정비대상 시설물이 아닌 것은 ?,text_only,O,옹벽,저류지,배수펌프장,방조제,1,google/gemma-3-27b,300,181,0,60.33,104.28,0.3,91,3,94,4,False,4,"문제: 자연재해위험개선지구 관리지침상 침수위험 지구의 정비대상 시설물이 아닌 것은 ?

선택지:
1. 옹벽
2. 저류지
3. 배수펌프장
4. 방조제

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",26
27,방재기사,2020,3,재난관리,5,댐·저수지 붕괴등에 의한 하류위험지역의 위험도 평가시 인구에 대한 설명으로 틀린것은?,text_only,,위험지역의 인구는 붕괴시 범람으로 인한 인명피해 잠재성의 정량화된 척도로 사용된다.,위험지역의 인구는 붕괴시 범람으로 인한 하류 위험지역으로부터 피난해야 될 사람의 수로 정의 할 수 있다.,위험지역의 인구는 상시 거주지뿐만 아니라 작업장과 임시거주지 인구까지 포함한다.,인구위험도는 PAR(Person At Risk)로 표시되기도 하는데 댐의 상류지역에 거주하는 사람의 수로 정의 할 수 있다.,4,google/gemma-3-27b,300,181,0,60.33,104.28,0.41,209,3,212,4,True,4,"문제: 댐·저수지 붕괴등에 의한 하류위험지역의 위험도 평가시 인구에 대한 설명으로 틀린것은?

선택지:
1. 위험지역의 인구는 붕괴시 범람으로 인한 인명피해 잠재성의 정량화된 척도로 사용된다.
2. 위험지역의 인구는 붕괴시 범람으로 인한 하류 위험지역으로부터 피난해야 될 사람의 수로 정의 할 수 있다.
3. 위험지역의 인구는 상시 거주지뿐만 아니라 작업장과 임시거주지 인구까지 포함한다.
4. 인구위험도는 PAR(Person At Risk)로 표시되기도 하는데 댐의 상류지역에 거주하는 사람의 수로 정의 할 수 있다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",27
28,방재기사,2021,3,방재시설,36,자연재해저감 종합계획 세부수립기준상 자연재해 특성분석 현황조사에 관한 사항으로 틀린 것은?,text_only,O,자연재해 원인특성은 해당 재해별 특성을 구분하여 분석한다.,주요 자연재해 특성 분석 내용은 위험지구 예비후보지 대상선정에 활용할수 없다.,"피해현황은 국가재난관리정보시스템(NDMS)자료를 토대로 해당 자연재해로인하여 발생한 시설물별 피해 개소수, 피해액등의 피해현황을 조사한다.","주요자연재해 사상을 선정하여 주요내용(호우기간, 기상특성등), 기상개황, 기상특성, 자연재해원인특성, 피해현황, 복구현황, 피해원인분석등 대하 여기술한다.",2,google/gemma-3-27b,300,181,0,60.33,104.28,0.44,233,3,236,2,True,2,"문제: 자연재해저감 종합계획 세부수립기준상 자연재해 특성분석 현황조사에 관한 사항으로 틀린 것은?

선택지:
1. 자연재해 원인특성은 해당 재해별 특성을 구분하여 분석한다.
2. 주요 자연재해 특성 분석 내용은 위험지구 예비후보지 대상선정에 활용할수 없다.
3. 피해현황은 국가재난관리정보시스템(NDMS)자료를 토대로 해당 자연재해로인하여 발생한 시설물별 피해 개소수, 피해액등의 피해현황을 조사한다.
4. 주요자연재해 사상을 선정하여 주요내용(호우기간, 기상특성등), 기상개황, 기상특성, 자연재해원인특성, 피해현황, 복구현황, 피해원인분석등 대하 여기술한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",28
29,방재기사,2021,3,방재사업,87,도시·군 계획시설의 결정·구조 및 설치기준에관한 규칙상 방재시설이 아닌 것은?,text_only,O,하천,저수지,상수도,방풍설비,3,google/gemma-3-27b,300,181,0,60.33,104.28,0.22,86,2,88,1,False,1,"문제: 도시·군 계획시설의 결정·구조 및 설치기준에관한 규칙상 방재시설이 아닌 것은?

선택지:
1. 하천
2. 저수지
3. 상수도
4. 방풍설비

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",29
30,방재기사,2022,2,방재사업,97,자연재해대책법령상 상습가뭄재해지역에 대한 생활수?먹는물 분야의 중장기 대책에 포함되어야하는 사항을 모두 고른 것은?\n\nㄱ. 물 절약대책\nㄴ. 하수도 축소대책\nㄷ. 수질오염사고 예방대책\nㄹ. 가뭄단계별 재한급수대책,text_only,O,"ㄱ, ㄴ ,ㄷ","ㄱ, ㄴ, ㄹ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ",3,google/gemma-3-27b,300,181,0,60.33,104.28,0.37,163,3,166,3,True,3,"문제: 자연재해대책법령상 상습가뭄재해지역에 대한 생활수?먹는물 분야의 중장기 대책에 포함되어야하는 사항을 모두 고른 것은?\n\nㄱ. 물 절약대책\nㄴ. 하수도 축소대책\nㄷ. 수질오염사고 예방대책\nㄹ. 가뭄단계별 재한급수대책

선택지:
1. ㄱ, ㄴ ,ㄷ
2. ㄱ, ㄴ, ㄹ
3. ㄱ, ㄷ, ㄹ
4. ㄴ, ㄷ, ㄹ

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",30
31,방재기사,2021,3,재해분석,49,방재성능목표 달성에 필요한 재정적 수요를 고려한 사항을 모두 고른 것은?\n\nㄱ. 재해지역의 재정자립도\nㄴ. 재해지역의 소득지가 변동률\nㄷ. 재해지역의 도시화율\nㄹ. 재해지역의 시설물별 피해양상,text_only,,"ㄱ, ㄴ","ㄱ, ㄷ","ㄱ, ㄴ, ㄷ","ㄱ, ㄴ, ㄹ",3,google/gemma-3-27b,300,181,0,60.33,104.28,0.37,144,3,147,4,False,4,"문제: 방재성능목표 달성에 필요한 재정적 수요를 고려한 사항을 모두 고른 것은?\n\nㄱ. 재해지역의 재정자립도\nㄴ. 재해지역의 소득지가 변동률\nㄷ. 재해지역의 도시화율\nㄹ. 재해지역의 시설물별 피해양상

선택지:
1. ㄱ, ㄴ
2. ㄱ, ㄷ
3. ㄱ, ㄴ, ㄷ
4. ㄱ, ㄴ, ㄹ

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",31
32,방재기사,2019,5,재해대책,66,침수흔적조사에 대한설명으로 틀린 것은?,text_only,,침수흔적조사는 재해지도를 작성할 때 기초 자료로 활용하기 위하여 실시한다.,행안부장관은 침수범람 등의 피해가 발생한 경우 침수흔적을 조사하여야한다.,대하천의 범람 등 단기간 내 끝나지 않는 재해의 경우 재해진행현장을 조사하는 것이 가능하다.,피해발생 후 신속한 조사가 어려운 경우에는 전담기관 및 대행자에 의뢰하여 침수흔적 조사를 실시할 수 있다.,2,google/gemma-3-27b,300,181,0,60.33,104.28,0.39,172,3,175,3,False,3,"문제: 침수흔적조사에 대한설명으로 틀린 것은?

선택지:
1. 침수흔적조사는 재해지도를 작성할 때 기초 자료로 활용하기 위하여 실시한다.
2. 행안부장관은 침수범람 등의 피해가 발생한 경우 침수흔적을 조사하여야한다.
3. 대하천의 범람 등 단기간 내 끝나지 않는 재해의 경우 재해진행현장을 조사하는 것이 가능하다.
4. 피해발생 후 신속한 조사가 어려운 경우에는 전담기관 및 대행자에 의뢰하여 침수흔적 조사를 실시할 수 있다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",32
33,방재기사,2020,3,방재시설,32,하천의 하상경사가 급하고 저수지의 관리수위이하의 저수율을 보유하고 있는 하천 시점부의 농경지에서의 취약한 재해유형은?,text_only,,하천재해,가뭄재해,내수재해,토사재해,2,google/gemma-3-27b,300,181,0,60.33,104.28,0.31,110,3,113,4,False,4,"문제: 하천의 하상경사가 급하고 저수지의 관리수위이하의 저수율을 보유하고 있는 하천 시점부의 농경지에서의 취약한 재해유형은?

선택지:
1. 하천재해
2. 가뭄재해
3. 내수재해
4. 토사재해

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",33
